ID,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES_2018,GANANCIA_PERDIDA_2018,TOTAL_ACTIVOS_2018,TOTAL_PASIVOS_2018,TOTAL_PATRIMONIO_2018,INGRESOS_OPERACIONALES_2017,GANANCIA_PERDIDA_2017,TOTAL_ACTIVOS_2017,TOTAL_PASIVOS_2017,TOTAL_PATRIMONIO_2017,GRUPO_EN_NIIF
322,900.123.408,COMPAÑIA DE INVERSIONES TEXTILES DE MODA TEXMODAS S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,COMERCIO,448495181,7529332,134607048,105989441,28617607,419011881,8170136,177489329,148230918,29258411,NIIF PLENAS-GRUPO 1
323,800.191.700,Cueros Velez SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,446819353,9789428,384005905,274904638,109101267,385994231,7532123,354984751,254166487,100818264,NIIF PYMES-GRUPO 2
324,890.321.151,CARVAJAL TECNOLOGIA Y SERVICIOS S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,SERVICIOS,445262245,48132682,260217286,121911465,138305821,221475761,2810568,229867067,124678357,105188710,NIIF PLENAS-GRUPO 1
325,830.016.046,AVANTEL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,444568000,-86533000,382337000,636987000,-254650000,330219000,-93246000,351810000,522439000,-170629000,NIIF PLENAS-GRUPO 1
326,890.200.474,INCUBADORA SANTANDER SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,PIEDECUESTA-SANTANDER,AGROPECUARIO,444092823,48180,522419302,364449216,157970086,407835831,-10973911,531152189,373230283,157921906,NIIF PLENAS-GRUPO 1
327,900.891.350,GOAM 1 C.I S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,442440364,-5568051,120906162,119967330,938832,175199446,288909,94830904,93368211,1462693,NIIF PYMES-GRUPO 2
328,860.056.150,BASF QUIMICA COLOMBIANA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,441339634,658974,293368450,258227695,35140755,446074774,-2359742,311517823,283589864,27927959,NIIF PLENAS-GRUPO 1
329,860.003.831,PRODCUTOS RAMO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,437418508,3639253,319005428,137213459,181791969,420955560,5886958,340510374,154998492,185511882,NIIF PLENAS-GRUPO 1
330,900.268.901,CNR III LTD. SUCURSAL COLOMBIA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,MINERO-HIDROCARBUROS,434237123,22509909,448914036,365226025,83688011,73046673,100761175,303438123,248697733,54740390,NIIF PLENAS-GRUPO 1
331,900.104.080,SOCINEG S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,433780265,440709316,3250945862,3507302,3247438560,368705400,370147209,3031828476,1964139,3029864337,NIIF PLENAS-GRUPO 1
